Id,Longitude,Latitude,UF,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,ano,nome_municipio
1500305,-50.391428,-0.159172,PA,8.5,8.5,17,1560.0268595,1560.0268595,3120.053719,3,0.466154,0.47706,281.687624,1,1991,Afuá
1500404,-54.740862,-1.951398,PA,22.0,22.0,44,2783.0053245,2783.0053245,5566.010649,3,0.433816,0.452413,409.513306,1,1991,Alenquer
1500503,-52.576835,-1.527339,PA,69.0,69.0,138,4792.0478165,4792.0478165,9584.095633,3,0.503025,0.512249,2322.614855,1,1991,Almeirim
1500602,-52.214376,-3.20566,PA,152.5,152.5,305,11177.02343,11177.02343,22354.04686,3,0.516151,0.533073,11247.949205,1,1991,Altamira
1500701,-49.945001,-0.984451,PA,7.5,7.5,15,495.696333,495.696333,991.392666,4,0.360093,0.371622,11.57851,1,1991,Anajás
1500800,-48.372067,-1.368714,PA,82.5,82.5,165,20290.776009,20290.776009,40581.552018,3,0.506486,0.516518,5712.632763,1,1991,Ananindeua
1500909,-46.641646,-1.022921,PA,8.5,8.5,17,809.464518,809.464518,1618.929036,3,0.361107,0.373051,9.35208,1,1991,Augusto Corrêa
1501006,-55.330734,-3.605595,PA,12.0,12.0,24,378.6542225,378.6542225,757.308445,3,0.419352,0.437676,31.571624,1,1991,Aveiro
1501105,-50.221987,-1.889808,PA,5.5,5.5,11,367.875789,367.875789,735.751578,3,0.466058,0.47654,106.918592,1,1991,Bagre
1501204,-49.672753,-2.791962,PA,15.5,15.5,31,1076.136953,1076.136953,2152.273906,3,0.474881,0.48467,167.489925,1,1991,Baião
1501303,-48.627073,-1.505767,PA,53.0,53.0,106,4895.46577,4895.46577,9790.93154,3,0.493461,0.503452,2481.077389,1,1991,Barcarena
1501402,-48.487826,-1.459845,PA,361.0,361.0,722,90976.4197315,90976.4197315,181952.839463,3,0.543649,0.580364,91493.17344,1,1991,Belém
1501501,-48.241836,-1.361438,PA,49.0,49.0,98,5966.7376,5966.7376,11933.4752,3,0.457091,0.475984,789.799914,1,1991,Benevides
1501576,-48.59904,-5.047363,PA,31.5,31.5,63,2029.571071,2029.571071,4059.142142,3,0.48264,0.492687,227.136934,1,1991,Bom Jesus do Tocantins
1501600,-47.305892,-1.367474,PA,16.5,16.5,33,704.660531,704.660531,1409.321062,3,0.391524,0.410097,39.591813,1,1991,Bonito
1501709,-46.765754,-1.053524,PA,50.0,50.0,100,8055.6265655,8055.6265655,16111.253131,3,0.498778,0.506607,2014.508884,1,1991,Bragança
1501758,-48.40576,-5.707296,PA,31.5,31.5,63,1517.438595,1517.438595,3034.87719,3,0.450035,0.467669,400.201642,1,1991,Brejo Grande do Araguaia
1501808,-50.480895,-1.690737,PA,23.0,23.0,46,3690.2764475,3690.2764475,7380.552895,3,0.412343,0.432554,375.257686,1,1991,Breves
1501907,-48.035875,-1.513991,PA,16.5,16.5,33,1158.0394045,1158.0394045,2316.078809,3,0.391456,0.410022,87.350134,1,1991,Bujaru
1502004,-48.960668,-1.008786,PA,15.0,15.0,30,976.6450115,976.6450115,1953.290023,3,0.410008,0.429065,153.955373,1,1991,Cachoeira do Arari
1502103,-49.49783,-2.246838,PA,25.5,25.5,51,5089.7738365,5089.7738365,10179.547673,3,0.485091,0.493541,391.412187,1,1991,Cametá
